data_extracao;descricao;estado;complemento;implantacao;logradouro_nome;num_inicial;num_final;defronte;cruzamento_nome;lado;fluxo;local_de_instal;latitude;longitude
2023-08-01 01:33:52.601;FAIXA DE TRAVESSIA DE PEDESTRES (ZEBRADA);INSTALADO;- 07TJ - 04MX0,40M;1978-12-05;R MARECHAL FLORIANO PEIXOTO;199.0;0.0;NÃO;AV SENADOR SALGADO FILHO;NULO;DECRESCENTE;LEITO DA VIA     ;-30.030744260109266;-51.22686984948815
2023-08-01 01:33:52.607;SETA SIGA EM FRENTE (PINTURA);INSTALADO;;1979-01-12;R JOSE DE ALENCAR;872.0;0.0;NÃO;AV GETULIO VARGAS;PAR;DECRESCENTE;LEITO DA VIA     ;;
2023-08-01 01:33:52.607;FAIXA DE TRAVESSIA DE PEDESTRES (ZEBRADA);INSTALADO;;1979-03-01;R DR CAMPOS VELHO;1546.0;1546.0;NÃO;R SANTA FLORA;PAR;DECRESCENTE;LEITO DA VIA     ;-30.09359744412259;-51.230545345461
2023-08-01 01:33:52.607;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;R-24A - ;1979-03-20;AV ALBERTO BINS;581.0;581.0;NÃO;R CEL VICENTE;IMPAR;DECRESCENTE;CALCADA          ;;
2023-08-01 01:33:52.607;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;1979-03-22;R GEN VITORINO;185.0;185.0;NÃO;R DR FLORES;IMPAR;CRESCENTE;CALCADA          ;;
2023-08-01 01:33:52.607;SENTIDO PROIBIDO;INSTALADO;;1979-03-22;R DR FLORES;371.0;0.0;NÃO;AV SENADOR SALGADO FILHO;IMPAR;CRESCENTE;CALCADA          ;;
2023-08-01 01:33:52.607;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;1979-03-23;R SIQUEIRA CAMPOS;896.0;896.0;NÃO;R CALDAS JUNIOR;PAR;CRESCENTE;CALCADA          ;-30.02897012836299;-51.23274539597333
2023-08-01 01:33:52.607;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;R-24A - S2;1979-03-27;R DEMETRIO RIBEIRO;174.0;174.0;NÃO;R GEN VASCO ALVES;PAR;CRESCENTE;CALCADA          ;;
2023-08-01 01:33:52.607;PARADA OBRIGATÓRIA;INSTALADO;;1979-03-27;R GEN PORTINHO;355.0;355.0;NÃO;R DUQUE DE CAXIAS;IMPAR;CRESCENTE;CALCADA          ;;
2023-08-01 01:33:52.607;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;1979-03-27;R RIACHUELO;483.0;483.0;NÃO;R GEN PORTINHO;IMPAR;DECRESCENTE;CALCADA          ;;
2023-08-01 01:33:52.607;PARADA OBRIGATÓRIA;INSTALADO;R-1 - S1;1979-03-27;R GEN CYPRIANO FERREIRA;561.0;561.0;NÃO;R DEMETRIO RIBEIRO;IMPAR;CRESCENTE;CALCADA          ;;
2023-08-01 01:33:52.607;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;R-24A - S3;1979-03-27;R GEN PORTINHO;579.0;579.0;NÃO;R WASHINGTON LUIZ;IMPAR;CRESCENTE;CALCADA          ;;
2023-08-01 01:33:52.607;PARADA OBRIGATÓRIA;INSTALADO;;1979-03-30;R MARECHAL FLORIANO PEIXOTO;777.0;0.0;NÃO;R DEMETRIO RIBEIRO;IMPAR;CRESCENTE;CALCADA          ;;
2023-08-01 01:33:52.607;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;1979-03-30;R CEL FERNANDO MACHADO;787.0;791.0;NÃO;R ESPIRITO SANTO;IMPAR;DECRESCENTE;CALCADA          ;-30.035106076532454;-51.22979294515063
2023-08-01 01:33:52.611;PARADA OBRIGATÓRIA;INSTALADO;R-1 - PARE - S1;1979-05-02;AV RIO GRANDE;132.0;0.0;NÃO;R CAIRU;PAR;DECRESCENTE;CALCADA          ;;
2023-08-01 01:33:52.611;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;1979-05-02;R CAIRU;221.0;0.0;NÃO;AV RIO GRANDE;IMPAR;DECRESCENTE;CALCADA          ;;
2023-08-01 01:33:52.611;SENTIDO DE CIRCULAÇÃO DA VIA (SO)            ;INSTALADO;;1979-05-02;AV BRASIL;1128.0;0.0;NÃO;AV AMAZONAS;PAR;CRESCENTE;CALCADA          ;;
